Category,Department + Course Number,Distributions
CA,AAS 1100,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AAS 2100,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,AAS 3030,"['CA-AS', 'GLC-AS']"
CA,AAS 4050,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,AAS 4630,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AEM 4421,"['CA-AG', 'D-AG', 'SBA-AG']"
CA,AIIS 1110,"['CA-AG', 'D-AG']"
CA,AIIS 2100,"['CA-AG', 'KCM-AG']"
CA,AIIS 2240,"['CA-AG', 'SBA-AG']"
CA,AIIS 2350,"['CA-AG', 'D-AG', 'HA-AG']"
CA,AIIS 2600,"['CA-AG', 'D-AG', 'LA-AG']"
CA,AIIS 2850,"['CA-AG', 'LA-AG']"
CA,AIIS 2910,"['CA-AG', 'HA-AG']"
CA,AIIS 3330,"['CA-AG', 'D-AG', 'KCM-AG', 'SBA-AG']"
CA,AIIS 3422,"['CA-AG', 'D-AG']"
CA,AIIS 4000,"['CA-AG', 'HA-AG']"
CA,AIIS 4450,"['CA-AG', 'HA-AG']"
CA,AIIS 4625,"['CA-AG', 'LA-AG']"
CA,AIIS 4900,['CA-AG']
CA,AIIS 6240,"['CA-AG', 'SBA-AG']"
CA,AIIS 6422,"['CA-AG', 'D-AG']"
CA,AMST 1101,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 1321,"['ALC-AS', 'CA-AS']"
CA,AMST 1500,"['CA-AS', 'GLC-AS', 'SSC-AS']"
CA,AMST 1601,"['CA-AS', 'SCD-AS']"
CA,AMST 2006,"['ALC-AS', 'CA-AS']"
CA,AMST 2106,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 2108,"['ALC-AS', 'CA-AS']"
CA,AMST 2260,"['ALC-AS', 'CA-AS']"
CA,AMST 2320,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 2340,"['ALC-AS', 'CA-AS']"
CA,AMST 2371,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 2505,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 2562,"['CA-AS', 'SCD-AS']"
CA,AMST 2650,"['ALC-AS', 'CA-AS']"
CA,AMST 2721,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,AMST 2770,"['CA-AS', 'SCD-AS']"
CA,AMST 2885,"['CA-AS', 'ALC-AS']"
CA,AMST 3001,"['CA-AS', 'HST-AS']"
CA,AMST 3131,"['CA-AS', 'SSC-AS']"
CA,AMST 3405,"['CA-AS', 'SCD-AS', 'SSC-AS']"
CA,AMST 3420,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,AMST 3434,"['CA-AS', 'ALC-AS']"
CA,AMST 3442,"['CA-AS', 'ALC-AS']"
CA,AMST 3475,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,AMST 3565,"['CA-AS', 'ALC-AS']"
CA,AMST 3581,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,AMST 3703,"['CA-AS', 'GLC-AS']"
CA,AMST 3715,"['CA-AS', 'HST-AS']"
CA,AMST 3732,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,AMST 3734,"['CA-AS', 'ALC-AS']"
CA,AMST 3777,"['CA-AS', 'HST-AS', 'SCD-AS']"
CA,AMST 4052,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,AMST 4434,"['CA-AS', 'SCD-AS']"
CA,AMST 4533,"['CA-AS', 'ALC-AS', 'HST-AS']"
CA,AMST 4560,"['ALC-AS', 'CA-AS', 'SCD-AS']"
CA,AMST 4603,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 4632,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 4674,"['CA-AS', 'HST-AS']"
CA,AMST 4681,"['CA-AS', 'ALC-AS', 'SSC-AS']"
CA,AMST 4705,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 4720,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,AMST 4733,"['CA-AS', 'SCD-AS']"
CA,AMST 4771,"['CA-AS', 'ALC-AS', 'SCD-AS']"
CA,ANTHR 1190,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 1400,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 1900,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 2104,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 2285,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 2410,"['CA-AS', 'ALC-AS', 'GLC-AS']"
CA,ANTHR 2415,"['CA-AS', 'GLC-AS', 'SCD-AS']"
CA,ANTHR 2420,"['CA-AS', 'GLC-AS', 'SCD-AS']"
